Локация,Размещение,Площадь,Торг площадь,Тип ТО,Кол-во стеллажей,Режим работы,Дата открытия,ТО,Статус,Трафик,Конверсия,Количество чеков,Средний чек,Оборачиваемость проды,Оборачиваемость непроды,Оборачиваемость,ПРОМО шт,РЕГ шт,"Доля ПРОМО, %","Доля РЕГ, %",Доля РЕГУЛЯР/ПРОМО,Проды,Скоропорт,Непроды,Прочее/ТМЦ,Выручка б/НДС,"Доля ТО в выручке, %",Проды.1,Скоропорт.1,Непроды.1,Прочее/ТМЦ.1,Себестоимость б/ндс,Проды.2,% списаний,Скоропорт.2,% списаний.1,Непроды.2,% списаний.2,% списаний total,% маржи проды,% маржи непроды,% маржи,Проды маржа,Непроды маржа,Марж прибыль,ФОТ,"Доля ФОТ в выручке, %",Расходы на реализацию без логистики и аренды,Логистика,Аренда,Расходы на реализацию total,Прочие доходы и расходы,Операционные расходы total,Рентабельность 1,Месяц,Проды скоропорт маржа,Операционные расходы,% маржи прочее,Прочее маржа,Unnamed: 27
Жилой дом,1.0,202.0,150.1,тип 3,65,9:00-21:00,2025-02-27 00:00:00,"ФМ_15 г. Владимир, пр-т Ленина,27",,-,-,206,242.07,195.8282613824015,765.664845173042,480.7465532777217,15.0,523.0,0.027881040892193308,0.9721189591078067,97% / 3%,8734.210000000001,1320.3200000000002,31732.63,249.26,42036.420000000006,0.00612414036904338,6050.849999999997,843.5600000000001,17435.83,157.34,24487.579999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3142981322846516,0.4505393974593345,0.38241876487199306,2683.360000000004,14296.8,17456.920000000006,161907.35,3.8704870472464856,46785.08,19166.67,324308.33999999997,390260.08999999997,0.0,552167.44,-534710.5199999999,Февраль 25,476.7600000000001,,,,
Жилой дом,1.0,204.0,149.8,тип 4,56,9:00-21:00,31.09.2024,"ФМ_01 г. Владимир, ул.Верхняя Дуброва, д.26ж",,-,-,4557,283.91,45.13415396370472,196.482645994832,120.80839997926836,996.0,13675.202,0.0678880980576779,0.9321119019423221,93% / 7%,280305.35000000155,203805.93000000017,588742.1200000003,17890.41,1090743.810000002,0.12374025424253124,211718.07999999984,146970.77999999997,338596.4999999997,15863.580000000002,713148.9399999995,1724.2600000000002,0.00615136314736765,836.64,0.0041050817314294994,0.0,0.0,0.002347847383154066,0.2590776649533997,0.4248814744221129,0.3419795696877563,68587.2700000017,250145.6200000007,375568.0400000026,415633.1,0.3806601364839994,280242.19999999995,1750.0,165065.16,447057.36,149181.45,1011871.91,-636303.8699999974,Март 25,56835.1500000002,,,,
Жилой дом,2.0,222.0,165.4,тип 1,86,9:00-21:00,2024-08-04 00:00:00,"ФМ_02 г. Иваново, ул.Революционная, 78 В",,-,-,4407,271.03,49.03109993717577,175.8187557725294,112.4249278548526,1014.0,12043.680000000002,0.07765544874740381,0.9223445512525962,92% / 8%,190538.66000000108,76050.48999999999,724910.17,7633.65,999132.9700000011,0.1133473933992761,147623.5800000001,55256.80999999999,418756.6099999999,5683.38,627320.38,1937.0,0.010165915935380196,2241.0,0.029467265759891885,0.0,0.0,0.004181625594839489,0.238977317719047,0.422333100941321,0.330655209330184,42915.08000000098,306153.5600000002,369862.3200000012,328598.92,0.3297107177286096,150374.86,0.0,243767.82,394142.68,8265.01,731006.61,-361144.2899999988,Март 25,20793.68,,,,
Жилой дом,2.0,222.0,165.4,тип 2,75,10:00-21:00,2024-08-04 00:00:00,"ФМ_03 г. Ковров, ул. Ватутина, д. 59",,-,-,2941,293.03,116.1742865444208,224.5337005649718,170.3539935546963,1703.0,8730.219,0.16322862579612296,0.836771374203877,84% / 16%,164290.01000000077,43132.65000000001,491980.4200000004,13438.759999999998,712841.8400000012,0.08086888021515683,151171.9399999998,34635.74,271233.7000000002,12161.08,469202.46,306.44000000000005,0.0018652381845980692,1391.0,0.032249351709204045,0.0,0.0,0.002381229474409074,0.1042074188037168,0.4486900515268473,0.27644873516528207,13118.070000000967,220746.7200000001,242361.70000000106,460431.72,0.6462781909612066,186334.9,0.0,83868.34,270203.24,181981.61,912616.57,-670254.869999999,Март 25,8496.91000000001,,,,
,,,,-,-,-,,"ФМ_04 г. Иваново, ул. Куконковых, д. 141",закрыт,-,-,1900,206.93,165.6350173518312,434.1021183277343,299.8685678397827,1066.0,4552.525000000001,0.18972951085916676,0.8102704891408332,81% / 19%,125076.02000000048,27382.35,160042.4900000001,8910.28,321411.1400000006,0.036462729208595564,118272.89000000001,22784.78,89502.02999999991,9649.379999999997,240209.07999999993,7993.43,0.06390857336202391,9850.27,0.35973062940178624,0.0,0.0,0.055516744068049316,0.07477910199355019,0.4407608254532914,0.2577699637234208,6803.13000000047,70540.46000000017,81941.16000000064,286428.85,0.8872278480451962,107617.70999999999,0.0,143386.66,251004.37,305194.57,842627.7899999999,-760686.6299999993,Март 25,4597.57,,,,
Ком.зданиие/ТЦ,2.0,181.2,146.8,-,-,-,2024-12-28 00:00:00,"ФМ_05 г. Орехово-Зуево, ул. Пролетарская 18а",закрыт,-,-,1360,320.66,130.1061338531514,338.539790960452,234.3229624068017,1136.0,4709.0,0.1943541488451668,0.8056458511548332,81% / 19%,77799.7100000002,33966.49,247210.7799999999,4380.12,363357.1000000001,0.041221320279441954,72258.03999999998,25491.260000000002,145512.27,9214.099999999999,252475.66999999998,1996.7800000000007,0.025665648368097975,7988.76,0.23519533516710148,647.0,0.002617199783925281,0.029261957451774023,0.1254126918513841,0.4113837996870524,0.2683982457692182,5541.6700000002165,101698.5099999999,115715.4100000001,413621.24,1.1355959304703949,169933.44,0.0,245156.14,415089.58,141185.81,969896.63,-854181.2199999999,Март 25,8475.229999999996,,,,
Ком.зданиие,1.0,241.0,186.5,тип 2,76,9:00-21:00,2024-10-30 00:00:00,"ФМ_06 г. Александров, ул.Институтская, д.2",закрыт,-,-,1816,337.93,233.25589137598,382.4317783618046,307.8438348688923,1403.0,6457.400000000001,0.17848964429291128,0.8215103557070887,82% / 18%,117504.92000000032,38642.479999999996,353140.3300000004,6364.43,515652.16000000073,0.058498548232980924,113107.0200000001,29427.63,202953.5799999999,9042.18,354530.41,9930.26,0.08450931246112905,2742.15,0.0709620604060609,0.0,0.0,0.024575500663082613,0.08717884511685865,0.4252891478013863,0.2562339964591225,4397.9000000002125,150186.7500000005,163799.5000000007,444127.49,0.8643856278208055,130740.29000000004,0.0,285859.39,416599.68000000005,231656.03999999998,1092383.21,-928583.7099999993,Март 25,9214.849999999995,,,,
Жилой дом,1.0,168.0,128.0,тип 3,65,9:00-21:00,2024-11-20 00:00:00,"ФМ_07 г. Ярославль, ул. Угличская,",закрыт,-,-,1664,295.75,128.609553814147,415.7259103187466,272.16773206644683,1245.0,5818.0,0.17627070649865495,0.823729293501345,82% / 18%,104936.6000000004,54165.89,239082.8500000003,14883.029999999999,413068.3700000007,0.04686085280039129,100332.34999999999,42539.259999999995,138147.8299999999,14934.91,295954.34999999986,6514.719999999999,0.06208243834848828,536.48,0.009904388167534956,201.55,0.0008430132065097925,0.01755823134073419,0.1020152481585946,0.4221759109865064,0.26209557957255053,4604.250000000407,100935.0200000004,117165.90000000081,382078.02,0.9237807538344366,170038.11000000002,0.0,225023.30000000002,395061.41000000003,35694.63,812834.06,-695668.1599999992,Март 25,11626.630000000005,,,,
ТЦ,-1.0,274.0,223.5,тип 1,105,9:00-21:00,2025-02-17 00:00:00,"ФМ_08 г .Ярославль ,пр-т Ленинградский,49А",,-,-,4317,267.98,56.74973873957914,180.8743010478978,118.81201989373847,1410.0,12689.453000000003,0.10000387958312991,0.89999612041687,90% / 10%,228612.94000000163,101772.98000000003,628501.3299999994,9753.16,968640.4100000011,0.10988814193040401,190269.68999999992,70434.35999999999,365005.3300000004,6864.320000000001,632573.7000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2109105315383942,0.4192449362040319,0.3150777338712131,38343.25000000172,263495.999999999,333177.87000000075,524104.5,0.539898501807398,179856.87999999998,0.0,153436.09,333292.97,41180.08,898577.55,-565399.6799999992,Март 25,31338.62000000004,,,,
Ком.зданиие/ТЦ,2.0,320.0,261.6,тип 1,105,9:00-21:00,2024-12-28 00:00:00,"ФМ_09 г.Владимир,ул.Славная,1а",,-,-,3271,297.83,115.458394185678,246.5283116087344,180.9933528972062,335.0,9972.937,0.03249922850712029,0.9675007714928797,97% / 3%,171929.700000001,66096.32999999997,562741.3100000002,10099.9,810867.2400000012,0.09198944565593233,122562.7300000002,51353.71999999999,327658.8499999999,4942.62,506517.9200000001,491.8800000000001,0.002860936766597029,2702.4,0.04088577989125873,750.6800000000001,0.001333969955040265,0.004865112074326735,0.2693385257066236,0.4177451625152598,0.3435418441109417,49366.9700000008,235082.4600000003,299192.0400000011,281036.55,0.345995047694262,147378.8,1750.0,240616.05,389744.85,101734.52,772515.9199999999,-473323.87999999884,Март 25,14742.609999999986,,,,
Жилой дом,1.0,228.0,187.5,тип 2,76,9:00-21:00,2025-01-29 00:00:00,"ФМ_10 г.Рязань,проспект Славянский, д.3 пом Н18",закрыт,-,-,2218,291.52,81.78663324158418,294.3292686948635,188.05795096822385,632.0,7087.950000000001,0.08186581519310357,0.9181341848068965,92% / 8%,105445.5500000005,76697.29,360294.0000000002,4827.209999999999,547264.0500000006,0.06208478293798182,82813.05000000012,57271.489999999976,211698.8200000001,3374.66,355158.0200000002,228.0,0.002162253409461081,2715.02,0.03539916469017354,0.0,0.0,0.005377696561650627,0.2309083354580406,0.412427573037575,0.3216679542478078,22632.50000000038,148595.1800000001,190653.4800000005,231408.71,0.4257961324372643,98073.54999999999,0.0,276291.94,374365.49,53292.82,659067.02,-468413.5399999995,Март 25,19425.800000000017,,,,
Ком.здание,2.0,200.0,164.0,тип 1,86,10:00-20:00,2024-12-28 00:00:00,"ФМ_11 г.Рязань,ул.Татарская,95",перенос,-,-,2473,284.78,112.0531299232542,254.2902371568831,183.17168354006867,648.0,7688.48,0.07773064890697273,0.9222693510930273,92% / 8%,117722.7900000003,39652.75,422246.05,3877.58,583499.1700000003,0.0661955034575038,92363.5400000001,31964.43,251695.9100000002,5775.7699999999995,381799.6500000003,0.0,0.0,1825.45,0.04603589914949152,0.0,0.0,0.0031284534646381745,0.2099917814420217,0.403911747664661,0.30695176455334133,25359.250000000204,170550.1399999998,203597.71000000002,364226.88,0.6220824721762038,85363.52000000002,0.0,177111.78999999998,262475.31,69608.67,696310.86,-492713.14999999997,Март 25,7688.32,,,,
